Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion,Customer_Email_Was_Missing,Province_Was_Missing,Order_Date_Parse_Method,Order_Date_Was_Imputed,Quantity_Was_Invalid,Expected_Amount,Accuracy_Flag,Status_Was_Invalid,Outlier_Flag_Before_Capping,Transaction_Amount_Before_Capping,Load_Delay_Hours,Is_Late_Load
T000127,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,PromptPay,Cancelled,N,0,0,YYYY-MM-DD,0,0,314.24,0,0,0,314.24,5.0,0
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,PromptPay,Processing,N,0,0,YYYY-MM-DD,0,0,393.53,0,0,0,393.53,1.0,0
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-05-29,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,Cash on Delivery,Cancelled,N,0,0,MM/DD/YYYY,0,0,1055.72,0,0,0,1055.72,5.0,0
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-02-01,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,Bank Transfer,Returned,N,0,0,MM/DD/YYYY,0,0,629.26,0,0,0,629.26,18.0,0
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,PromptPay,Processing,N,0,0,YYYY-MM-DD,0,0,1791.75,0,0,0,1791.75,13.0,0
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,Credit Card,Processing,N,0,0,YYYY-MM-DD,0,0,852.84,0,0,0,852.84,5.0,0
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,M,Chiang Mai,2026-06-01,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,Bank Transfer,Processing,N,0,0,YYYY-MM-DD,0,0,669.78,0,0,0,669.78,10.0,0
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,M,Phuket,2026-02-06,2026-02-06 13:00:00,Home,4,484.67,0.0,1891.04,Bank Transfer,Completed,N,0,0,MM/DD/YYYY,0,0,1938.68,1,0,0,1891.04,13.0,0
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,M,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,Bank Transfer,Processing,N,0,0,YYYY-MM-DD,0,0,1290.22,0,0,0,1290.22,9.0,0
T000544,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,Bank Transfer,Returned,Y,0,0,YYYY-MM-DD,0,0,326.66,0,0,0,326.66,3.0,0
T000141,C0116,Boss Wongsa,boss.wongsa116@example.com,F,Chonburi,2026-06-19,2026-06-19 06:00:00,Food,4,98.35,0.0,393.4,Credit Card,Cancelled,N,0,0,Fallback_LoadTimestamp,1,0,393.4,0,0,0,393.4,6.0,0
T000476,C0081,Film Srisawat,film.srisawat81@example.com,M,Chonburi,2026-03-20,2026-03-20 09:00:00,Food,4,432.12,0.0,1728.48,Bank Transfer,Processing,N,0,0,MM/DD/YYYY,0,0,1728.48,0,0,0,1728.48,9.0,0
T000433,C0007,Jane Saelim,jane.saelim7@example.com,M,Chiang Mai,2026-02-11,2026-02-11 17:00:00,Food,6,225.36,0.05,1284.55,PromptPay,Processing,Y,0,0,YYYY-MM-DD,0,0,1284.55,0,0,0,1284.55,17.0,0
T000589,C0029,Aom Pattanakul,aom.pattanakul29@example.com,F,Bangkok,2026-03-21,2026-03-21 08:00:00,Food,6,131.69,0.05,750.63,Cash on Delivery,Completed,N,0,0,YYYY-MM-DD,0,0,750.63,0,0,0,750.63,8.0,0
T000565,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-26,2026-05-26 10:00:00,Electronics,5,83.16,0.0,415.8,Credit Card,Returned,N,0,0,YYYY-MM-DD,0,0,415.8,0,0,0,415.8,10.0,0
T000598,C0060,Tee Maneerat,tee.maneerat60@example.com,M,Rayong,2026-04-07,2026-04-07 10:00:00,Sports,4,486.91,0.05,1850.26,Credit Card,Completed,N,0,0,YYYY-MM-DD,0,0,1850.26,0,0,0,1850.26,10.0,0
T000277,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Chiang Mai,2026-02-11,2026-02-11 12:00:00,Food,3,282.28,0.05,804.5,Cash on Delivery,Completed,N,0,0,YYYY/MM/DD,0,0,804.5,0,0,0,804.5,12.0,0
T000344,C0116,Boss Wongsa,boss.wongsa116@example.com,F,Chonburi,2026-01-14,2026-01-14 07:00:00,Sports,3,202.84,0.0,608.52,Credit Card,Processing,N,0,0,YYYY-MM-DD,0,0,608.52,0,0,0,608.52,7.0,0
T000129,C0079,Mook Srisawat,mook.srisawat79@example.com,F,Chanthaburi,2026-04-15,2026-04-15 11:00:00,Electronics,3,105.51,0.1,284.88,PromptPay,Cancelled,N,0,0,YYYY-MM-DD,0,0,284.88,0,0,0,284.88,11.0,0
T000044,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-01-26,2026-01-26 02:00:00,Beauty,5,273.16,0.2,1092.64,Cash on Delivery,Completed,N,0,0,DD-MM-YYYY,0,0,1092.64,0,0,0,1092.64,2.0,0
T000293,C0076,Pim Phromla,pim.phromla76@example.com,M,Chanthaburi,2026-02-18,2026-02-20 01:00:00,Electronics,6,297.28,0.05,1694.5,Bank Transfer,Processing,N,0,0,YYYY-MM-DD,0,0,1694.5,0,0,0,1694.5,49.0,1
T000146,C0132,Fah Saelim,fah.saelim132@example.com,M,Khon Kaen,2026-01-16,2026-01-16 02:00:00,Food,3,119.99,0.1,323.97,PromptPay,Returned,N,0,0,YYYY-MM-DD,0,0,323.97,0,0,0,323.97,2.0,0
T000559,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-05-19,2026-05-19 03:00:00,Electronics,4,385.46,0.05,1407.15,Bank Transfer,Returned,N,0,0,MM/DD/YYYY,0,0,1464.75,1,0,0,1407.15,3.0,0
T000082,C0145,Tee Srisawat,tee.srisawat145@example.com,M,Nakhon Ratchasima,2026-02-22,2026-02-22 17:00:00,Electronics,4,213.82,0.0,855.28,Cash on Delivery,Processing,N,0,0,YYYY/MM/DD,0,0,855.28,0,0,0,855.28,17.0,0
T000368,C0179,Jane Chaiyo,jane.chaiyo179@example.com,F,Chanthaburi,2026-04-12,2026-04-12 01:00:00,Electronics,6,147.75,0.0,886.5,PromptPay,Processing,N,0,0,DD-MM-YYYY,0,0,886.5,0,0,0,886.5,1.0,0
T000353,C0109,Jane Thongdee,unknown_C0109@unknown.local,F,Bangkok,2026-04-16,2026-04-16 04:00:00,Electronics,6,143.3,0.0,859.8,PromptPay,Cancelled,N,1,0,YYYY-MM-DD,0,0,859.8,0,0,0,859.8,4.0,0
T000505,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-04-14,2026-04-14 17:00:00,Beauty,5,258.8,0.0,1294.0,Credit Card,Processing,N,0,0,DD/MM/YYYY,0,0,1294.0,0,0,0,1294.0,17.0,0
T000571,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Chiang Mai,2026-01-17,2026-01-20 13:00:00,Food,4,236.68,0.0,946.72,Cash on Delivery,Completed,N,0,0,DD-MM-YYYY,0,0,946.72,0,0,0,946.72,85.0,1
T000599,C0039,Beam Boonmee,beam.boonmee39@example.com,M,Rayong,2026-01-01,2026-01-01 07:00:00,Sports,1,470.07,0.15,318.43,Credit Card,Returned,N,0,0,YYYY-MM-DD,0,0,399.56,1,0,0,318.43,7.0,0
T000074,C0022,Film Kittikul,film.kittikul22@example.com,F,Nakhon Ratchasima,2026-06-12,2026-06-12 08:00:00,Beauty,6,166.19,0.1,897.43,PromptPay,Returned,Y,0,0,YYYY-MM-DD,0,0,897.43,0,0,0,897.43,8.0,0
T000205,C0134,Pim Wongsa,unknown_C0134@unknown.local,M,Chanthaburi,2026-06-28,2026-06-28 16:00:00,Food,6,247.3,0.0,1483.8,Cash on Delivery,Cancelled,N,1,0,YYYY-MM-DD,0,0,1483.8,0,0,0,1483.8,16.0,0
T000070,C0062,Beam Rattanakul,unknown_C0062@unknown.local,M,Bangkok,2026-03-31,2026-03-31 08:00:00,Beauty,6,210.09,0.0,1260.54,Credit Card,Completed,N,1,0,DD-MM-YYYY,0,0,1260.54,0,0,0,1260.54,8.0,0
T000130,C0093,Bank Thongdee,bank.thongdee93@example.com,F,Khon Kaen,2026-01-06,2026-01-06 08:00:00,Sports,3,162.6,0.1,439.02,PromptPay,Cancelled,N,0,0,DD-MM-YYYY,0,0,439.02,0,0,0,439.02,8.0,0
T000411,C0056,Mint Maneerat,mint.maneerat56@example.com,M,Rayong,2026-01-09,2026-01-09 11:00:00,Beauty,5,268.07,0.0,1340.35,PromptPay,Cancelled,N,0,0,DD-MM-YYYY,0,0,1340.35,0,0,0,1340.35,11.0,0
T900007,C0149,May Pattanakul,may.pattanakul149@example.com,F,Chiang Mai,2026-04-03,2026-04-03 17:00:00,Fashion,2,218.01,0.1,392.42,Bank Transfer,Returned,N,0,0,Fallback_LoadTimestamp,1,0,392.42,0,0,0,392.42,17.0,0
T000116,C0145,Tee Srisawat,tee.srisawat145@example.com,M,Nakhon Ratchasima,2026-05-25,2026-05-25 06:00:00,Beauty,4,340.01,0.05,1292.04,Bank Transfer,Unknown,N,0,0,MM/DD/YYYY,0,0,1292.04,0,1,0,1292.04,6.0,0
T000548,C0053,Jane Pattanakul,jane.pattanakul53@example.com,M,Nakhon Ratchasima,2026-01-08,2026-01-08 02:00:00,Beauty,4,77.7,0.0,310.8,Credit Card,Cancelled,N,0,0,DD/MM/YYYY,0,0,310.8,0,0,0,310.8,2.0,0
T000211,C0150,Mook Chaiyo,mook.chaiyo150@example.com,F,Chiang Mai,2026-04-30,2026-04-30 05:00:00,Food,5,76.96,0.0,384.8,Credit Card,Cancelled,N,0,0,YYYY-MM-DD,0,0,384.8,0,0,0,384.8,5.0,0
T000558,C0033,Pim Srisawat,pim.srisawat33@example.com,M,Rayong,2026-06-27,2026-06-27 14:00:00,Electronics,2,89.22,0.0,115.33,Credit Card,Returned,N,0,0,YYYY-MM-DD,0,0,178.44,1,0,0,115.33,14.0,0
T000531,C0125,May Lertprasert,may.lertprasert125@example.com,F,Rayong,2026-01-10,2026-01-10 10:00:00,Sports,1,103.51,0.15,87.98,PromptPay,Returned,N,0,0,YYYY-MM-DD,0,0,87.98,0,0,0,87.98,10.0,0
T000250,C0011,Mint Rattanakul,mint.rattanakul11@example.com,F,Chanthaburi,2026-02-04,2026-02-04 19:00:00,Food,5,231.48,0.15,983.79,Cash on Delivery,Returned,N,0,0,MM/DD/YYYY,0,0,983.79,0,0,0,983.79,19.0,0
T000179,C0034,Fah Pattanakul,fah.pattanakul34@example.com,M,Chiang Mai,2026-02-23,2026-02-23 15:00:00,Sports,6,87.78,0.0,526.68,Credit Card,Cancelled,N,0,0,YYYY/MM/DD,0,0,526.68,0,0,0,526.68,15.0,0
T000105,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-07,2026-05-07 08:00:00,Food,2,79.14,0.0,158.28,Credit Card,Processing,N,0,0,YYYY-MM-DD,0,0,158.28,0,0,0,158.28,8.0,0
T000462,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Unknown,2026-06-25,2026-06-25 18:00:00,Beauty,1,137.25,0.1,123.53,Cash on Delivery,Cancelled,N,0,1,MM/DD/YYYY,0,0,123.52,0,0,0,123.53,18.0,0
T000441,C0016,Korn Lertprasert,korn.lertprasert16@example.com,M,Unknown,2026-03-01,2026-03-01 13:00:00,Sports,2,211.65,0.15,359.81,Credit Card,Cancelled,N,0,1,YYYY/MM/DD,0,0,359.8,0,0,0,359.81,13.0,0
T000118,C0024,Fah Boonmee,fah.boonmee24@example.com,F,Bangkok,2026-06-22,2026-06-22 01:00:00,Electronics,5,198.5,0.05,942.88,Cash on Delivery,Completed,N,0,0,YYYY-MM-DD,0,0,942.88,0,0,0,942.88,1.0,0
T000050,C0122,Anan Wongsa,anan.wongsa122@example.com,M,Chanthaburi,2026-02-27,2026-02-27 15:00:00,Food,6,188.54,0.05,1074.68,PromptPay,Completed,N,0,0,MM/DD/YYYY,0,0,1074.68,0,0,0,1074.68,15.0,0
T000253,C0149,May Pattanakul,may.pattanakul149@example.com,F,Unknown,2026-04-21,2026-04-21 14:00:00,Electronics,6,166.88,0.15,851.09,Bank Transfer,Returned,N,0,1,YYYY-MM-DD,0,0,851.09,0,0,0,851.09,14.0,0
T000479,C0133,Gun Kittikul,unknown_C0133@unknown.local,F,Phuket,2026-05-28,2026-05-28 11:00:00,Home,6,98.7,0.1,382.34,PromptPay,Returned,N,1,0,MM/DD/YYYY,0,0,532.98,1,0,0,382.34,11.0,0
T000139,C0044,Gun Phromla,gun.phromla44@example.com,F,Chonburi,2026-05-24,2026-05-24 19:00:00,Electronics,4,172.46,0.15,586.36,PromptPay,Cancelled,N,0,0,DD-MM-YYYY,0,0,586.36,0,0,0,586.36,19.0,0
T000300,C0176,Ploy Boonmee,ploy.boonmee176@example.com,M,Chanthaburi,2026-02-19,2026-02-19 17:00:00,Fashion,1,666.44,0.1,599.8,Bank Transfer,Completed,N,0,0,YYYY-MM-DD,0,0,599.8,0,0,0,599.8,17.0,0
T000510,C0016,Korn Lertprasert,korn.lertprasert16@example.com,M,Khon Kaen,2026-02-12,2026-02-12 18:00:00,Beauty,3,116.82,0.0,350.46,Credit Card,Completed,N,0,0,YYYY-MM-DD,0,0,350.46,0,0,0,350.46,18.0,0
T000171,C0166,Jane Srisawat,jane.srisawat166@example.com,F,Nakhon Ratchasima,2026-05-30,2026-05-30 17:00:00,Fashion,5,151.98,0.0,759.9,PromptPay,Cancelled,N,0,0,YYYY-MM-DD,0,0,759.9,0,0,0,759.9,17.0,0
T000528,C0067,May Pattanakul,may.pattanakul67@example.com,M,Chonburi,2026-03-14,2026-03-14 16:00:00,Beauty,3,137.2,0.05,391.02,Cash on Delivery,Processing,N,0,0,YYYY-MM-DD,0,0,391.02,0,0,0,391.02,16.0,0
T900001,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-02-03,2026-02-03 03:00:00,Beauty,3,286.06,0.0,858.18,Bank Transfer,Returned,N,0,0,YYYY-MM-DD,0,0,858.18,0,0,0,858.18,3.0,0
T000532,C0010,Beam Sukjai,beam.sukjai10@example.com,M,Phuket,2026-06-27,2026-06-27 06:00:00,Electronics,3,148.42,0.1,400.73,PromptPay,Cancelled,N,0,0,YYYY-MM-DD,0,0,400.73,0,0,0,400.73,6.0,0
